code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
72;Ростовская область;Ростовская;РСФСР;Северо-Кавказский;Северо-Кавказский;РСФСР;4292291;18476;2922324;4273815;г. Ростов-на-Дону;47.240556;39.710556
73;Рязанская область;Рязанская;РСФСР;Центральный;Центральный;РСФСР;1347754;7168;1082253;1340586;г. Рязань;54.616667;39.716667
74;Саратовская область;Саратовская;РСФСР;Поволжский;Поволжский;РСФСР;2684471;13133;1953131;2671338;г. Саратов;51.533333;46
75;Сахалинская область;Сахалинская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;710242;9841;347286;700401;г. Южно-Сахалинск;46.95;142.733333
76;Свердловская область;Свердловская;РСФСР;Уральский;Уральский;РСФСР;4706763;29889;3164794;4676874;г. Свердловск;56.833333;60.583333
77;Смоленская область;Смоленская;РСФСР;Центральный;Центральный;РСФСР;1153569;2428;892975;1151141;г. Смоленск;54.782778;32.045278
78;Тамбовская область;Тамбовская;РСФСР;Центральночернозёмный;Центральночернозёмный;РСФСР;1322372;7644;1129872;1314728;г. Тамбов;52.716667;41.433333
79;Томская область;Томская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;1001653;6929;624998;994724;г. Томск;56.488611;84.952222
80;Тульская область;Тульская;РСФСР;Центральный;Центральный;РСФСР;1861411;10219;1347516;1851192;г. Тула;54.2;37.616667
81;Ханты-Мансийский АО;Ханты-Мансийский;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;1282396;8816;1646;1273580;г. Ханты-Мансийск;61;69
82;Ямало-Ненецкий АО;Ямало-Ненецкий;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;494844;2873;825;491971;г. Салехард;66.533333;66.633333
83;Тюменская область (без АО);Тюменская;РСФСР;Западно-Сибирский;Западно-Сибирский;РСФСР;1320417;12698;953260;1307719;г. Тюмень;57.15;65.533333
84;Ульяновская область;Ульяновская;РСФСР;Поволжский;Поволжский;РСФСР;1396193;3429;1028197;1392764;г. Ульяновск;54.316667;48.366667
85;Челябинская область;Челябинская;РСФСР;Уральский;Уральский;РСФСР;3617752;11032;2425056;3606720;г. Челябинск;55.15;61.4
86;Агинский Бурятский АО;Агинский;РСФСР;Дальневосточный;Дальневосточный;РСФСР;77188;268;51906;76920;рп Агинское;51.111944;114.535833
87;Читинская область (без АО);Читинская;РСФСР;Дальневосточный;Дальневосточный;РСФСР;1298152;11046;902970;1287106;г. Чита;52.033333;113.5
88;Ярославская область;Ярославская;РСФСР;Центральный;Центральный;РСФСР;1468996;5787;1134761;1463209;г. Ярославль;57.616667;39.85
89;Винницкая область;Винницкая;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1920783;6018;1693360;1914765;г. Винница;49.233333;28.466667
90;Волынская область;Волынская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1058438;28927;900425;1029511;г. Луцк;50.747778;25.324444
91;Ворошиловградская область (ныне Луганская);Ворошиловградская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;2857031;11478;1907861;2845553;г. Ворошиловград (ныне г. Луганск);48.583333;39.333333
92;Днепропетровская область;Днепропетровская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;3869858;21771;2509867;3848087;г. Днепропетровск;48.466601;35.018155
93;Донецкая область;Донецкая;Украинская ССР;Донецко-Приднепровский;Донецкая обл.;Украинская ССР;5311781;24452;3345115;5287329;г. Донецк;48.008889;37.8
94;Житомирская область;Житомирская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1537604;6843;1310078;1530761;г. Житомир;50.254444;28.657778
95;Закарпатская область;Закарпатская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1245618;6873;1140874;1238745;г. Ужгород;48.623889;22.295
96;Запорожская область;Запорожская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;2074018;13640;1367081;2060378;г. Запорожье;47.85;35.1175
97;Ивано-Франковская область;Ивано-Франковская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1413211;15329;1236019;1397882;г. Ивано-Франковск;48.922778;24.710556
98;г. Киев;г. Киев;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;2572212;23332;1121021;2548880;г. Киев;50.45;30.516667
99;Киевская область;Киевская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;1934369;13577;1408418;1920792;г. Киев;50.45;30.516667
100;Кировоградская область;Кировоградская;Украинская ССР;Донецко-Приднепровский;Донецко-Приднепровский;Украинская ССР;1228093;8241;915589;1219852;г. Кировоград;48.51;32.266667
101;Крымская область;Крымская;Украинская ССР;Южный;Южный;Украинская ССР;2430495;21449;1052920;2409046;г. Симферополь;44.948056;34.104167
102;Львовская область;Львовская;Украинская ССР;Юго-Западный;Юго-Западный;Украинская ССР;2727410;86550;2217772;2640860;г. Львов;49.833333;24.0000
103;Николаевская область;Николаевская;Украинская ССР;Южный;Южный;Украинская ССР;1328306;10416;869181;1317890;г. Николаев;46.965833;32.003333
104;Одесская область;Одесская;Украинская ССР;Южный;Южный;Украинская ССР;2624245;28959;1819436;2595286;г. Одесса;46.486111;30.727778
