code;title;short_title;region;group;chord1;popul2021;nodetype;capital;lat;lon;worldmap
1180;Республика Башкортостан;Башкортостан;Приволжский ФО;Приволжский ФО;Приволжский ФО;4091423;ruregion;г. Уфа;54.733333;55.966667;Республика Башкортостан
1188;Республика Марий Эл;Марий Эл;Приволжский ФО;Приволжский ФО;Приволжский ФО;677097;ruregion;г. Йошкар-Ола;56.632778;47.895833;Республика Марий Эл
1189;Республика Мордовия;Мордовия;Приволжский ФО;Приволжский ФО;Приволжский ФО;783552;ruregion;г. Саранск;54.183333;45.183333;Республика Мордовия
1192;Республика Татарстан;Татарстан;Приволжский ФО;Приволжский ФО;Приволжский ФО;4004809;ruregion;г. Казань;55.790833;49.114444;Республика Татарстан (Татарстан)
1194;Удмуртская Республика;Удмуртская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1452914;ruregion;г. Ижевск;56.853056;53.212222;Удмуртская Республика
1197;Чувашская Республика;Чувашская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1186909;ruregion;г. Чебоксары;56.116667;47.233333;Чувашская Республика - Чувашия
1157;Пермский край;Пермский;Приволжский ФО;Приволжский ФО;Приволжский ФО;2532405;ruregion;г. Пермь;58.013889;56.248889;Пермский край
1133;Кировская область;Кировская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1153680;ruregion;г. Киров;58.6;49.65;Кировская обл.
1122;Нижегородская область;Нижегородская;Приволжский ФО;Приволжский ФО;Приволжский ФО;3119115;ruregion;г. Нижний Новгород;56.326944;44.0075;Нижегородская обл.
1153;Оренбургская область;Оренбургская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1862767;ruregion;г. Оренбург;51.766667;55.1;Оренбургская обл.
1156;Пензенская область;Пензенская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1266348;ruregion;г. Пенза;53.2;45;Пензенская обл.
1136;Самарская область;Самарская;Приволжский ФО;Приволжский ФО;Приволжский ФО;3172925;ruregion;г. Самара;53.183333;50.116667;Самарская обл.
1163;Саратовская область;Саратовская;Приволжский ФО;Приволжский ФО;Приволжский ФО;2442575;ruregion;г. Саратов;51.533333;46;Саратовская обл.
1173;Ульяновская область;Ульяновская;Приволжский ФО;Приволжский ФО;Приволжский ФО;1196745;ruregion;г. Ульяновск;54.316667;48.366667;Ульяновская обл.
1137;Курганская область;Курганская;Уральский ФО;Уральский ФО;Уральский ФО;776661;ruregion;г. Курган;55.440833;65.341111;Курганская обл.
1165;Свердловская область;Свердловская;Уральский ФО;Уральский ФО;Уральский ФО;4268998;ruregion;г. Свердловск;56.833333;60.583333;Свердловская обл.
171;Ханты-Мансийский автономный округ – Югра;ХМАО;Уральский ФО;Уральский ФО;Уральский ФО;1711480;ruregion;г. Ханты-Мансийск;61;69;Ханты-Мансийский АО - Югра
271;Ямало-Ненецкий автономный округ;ЯНАО;Уральский ФО;Уральский ФО;Уральский ФО;510490;ruregion;г. Салехард;66.533333;66.633333;Ямало-Ненецкий АО
371;Тюменская область (без АО);Тюменская;Уральский ФО;Уральский ФО;Уральский ФО;1601940;ruregion;г. Тюмень;57.15;65.533333;Тюменская обл.
1175;Челябинская область;Челябинская;Уральский ФО;Уральский ФО;Уральский ФО;3431224;ruregion;г. Челябинск;55.15;61.4;Челябинская обл.
1184;Республика Алтай;Алтай;Сибирский ФО;Сибирский ФО;Сибирский ФО;210924;ruregion;г. Горно-Алтайск;51.96;85.96;Республика Алтай
1193;Республика Тыва;Тыва;Сибирский ФО;Сибирский ФО;Сибирский ФО;336651;ruregion;г. Кызыл;51.7;94.366667;Республика Тыва
1195;Республика Хакасия;Хакасия;Сибирский ФО;Сибирский ФО;Сибирский ФО;534795;ruregion;г. Абакан;53.716667;91.416667;Республика Хакасия
1101;Алтайский край;Алтайский;Сибирский ФО;Сибирский ФО;Сибирский ФО;2163693;ruregion;г. Барнаул;53.347361;83.778333;Алтайский край
1104;Красноярский край;Красноярский;Сибирский ФО;Сибирский ФО;Сибирский ФО;2856971;ruregion;г. Красноярск;56.012083;92.871295;Красноярский край
1125;Иркутская область;Иркутская;Сибирский ФО;Сибирский ФО;Сибирский ФО;2370102;ruregion;г. Иркутск;52.283333;104.3;Иркутская обл.
1132;Кемеровская область - Кузбасс;Кемеровская;Сибирский ФО;Сибирский ФО;Сибирский ФО;2600923;ruregion;г. Кемерово;55.354167;86.089722;Кемеровская обл. - Кузбасс
1150;Новосибирская область;Новосибирская;Сибирский ФО;Сибирский ФО;Сибирский ФО;2797176;ruregion;г. Новосибирск;55.016667;82.916667;Новосибирская обл.
1152;Омская область;Омская;Сибирский ФО;Сибирский ФО;Сибирский ФО;1858798;ruregion;г. Омск;54.966667;73.383333;Омская обл.
1169;Томская область;Томская;Сибирский ФО;Сибирский ФО;Сибирский ФО;1062666;ruregion;г. Томск;56.488611;84.952222;Томская обл.
1181;Республика Бурятия;Бурятия;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;978588;ruregion;г. Улан-Удэ;51.833333;107.616667;Республика Бурятия
1198;Республика Саха (Якутия);Якутия;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;995686;ruregion;г. Якутск;62.027222;129.731944;Республика Саха (Якутия)
1176;Забайкальский край;Забайкальский;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;1004125;ruregion;г. Чита;52.033333;113.5;Забайкальский край
1130;Камчатский край;Камчатский;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;291705;ruregion;г. Петропавловск-Камчатский;53.016667;158.65;Камчатский край
1105;Приморский край;Приморский;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;1845165;ruregion;г. Владивосток;43.116667;131.9;Приморский край
1108;Хабаровский край;Хабаровский;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;1292944;ruregion;г. Хабаровск;48.483333;135.066667;Хабаровский край
1110;Амурская область;Амурская;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;766912;ruregion;г. Благовещенск;50.257778;127.536389;Амурская обл.
1144;Магаданская область;Магаданская;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;136085;ruregion;г. Магадан;59.566667;150.8;Магаданская обл.
1164;Сахалинская область;Сахалинская;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;466609;ruregion;г. Южно-Сахалинск;46.95;142.733333;Сахалинская обл.
1199;Еврейская автономная область;Еврейская;Еврейская;Дальневосточный ФО;Дальневосточный ФО;150453;ruregion;г. Биробиджан;48.783333;132.933333;Еврейская АО
1177;Чукотский автономный округ;ЧАО;Дальневосточный ФО;Дальневосточный ФО;Дальневосточный ФО;47490;ruregion;г. Анадырь;64.733333;177.516667;Чукотский АО
2001;;Абхазия;Западная Азия;Абхазия;Западная Азия;;country;Сухум;43.003333;41.015278;
2002;;Австралия;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Канберра;-35.302778;149.141667;Australia
2003;;Австрия;Западная Европа;Западная Европа;Европа;;country;Вена;47.433333;13.65;Austria
2004;;Азербайджан;Западная Азия;Азербайджан;Азербайджан;;country;Баку;40.366656;49.835183;Azerbaijan
2005;;Албания;Южная Европа;Южная Европа;Европа;;country;Тирана;41.33;19.82;Albania
2006;;Алжир;Африка;Африка;Африка;;country;Алжир;36.776389;3.058611;Algeria
2007;;Амер. Самоа;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Паго-Паго;-14.273056;-170.702778;American Samoa
2008;;Ангилья;Латинская Америка;Латинская Америка;Латинская Америка;;country;Валли;18.220833;-63.051667;Anguilla
2009;;Ангола;Африка;Африка;Африка;;country;Луанда;-8.833333;13.233333;Angola
2010;;Андорра;Южная Европа;Южная Европа;Европа;;country;Андорра-ла-Велья;42.5;1.5;Andorra
2011;;Антарктида;Антарктида;Австралия и Океания;Австралия и Океания;;country;;-78.464422;106.837328;Antarctica
2012;;Антигуа и Барбуда;Латинская Америка;Латинская Америка;Латинская Америка;;country;Сент-Джонс;17.121111;-61.844722;Antigua and Barb.
2013;;Аргентина;Латинская Америка;Латинская Америка;Латинская Америка;;country;Буэнос-Айрес;-34.599722;-58.381944;Argentina
2014;;Армения;Западная Азия;Армения;Армения;;country;Ереван;40.383333;44.95;Armenia
2015;;Аруба;Латинская Америка;Латинская Америка;Латинская Америка;;country;Ораньестад;12.5;-70.016667;Aruba
2016;;Афганистан;Южная Азия;Афганистан;Южная Азия;;country;Кабул;33.933333;66.183333;Afghanistan
2017;;Багамские О-ва;Латинская Америка;Латинская Америка;Латинская Америка;;country;Нассау;23.916667;-77.666667;Bahamas
2018;;Бангладеш;Южная Азия;Южная Азия;Южная Азия;;country;Дакка;24.016667;89.866667;Bangladesh
2019;;Барбадос;Латинская Америка;Латинская Америка;Латинская Америка;;country;Бриджтаун;13.096111;-59.608333;Barbados
2020;;Бахрейн;Западная Азия;Западная Азия;Западная Азия;;country;Манама;26.233333;50.575;Bahrain
2021;;Белоруссия;Восточная Европа;Белоруссия;Белоруссия;;country;Минск;53.916667;27.55;Belarus
2022;;Белиз;Латинская Америка;Латинская Америка;Латинская Америка;;country;Бельмопан;17.2;-88.7675;Belize
2023;;Бельгия;Западная Европа;Западная Европа;Европа;;country;Брюссель;50.846667;4.3525;Belgium
2024;;Бенин;Африка;Африка;Африка;;country;Порто-Ново;8.833333;2.183333;Benin
2025;;Бермудские О-ва;Латинская Америка;Латинская Америка;Латинская Америка;;country;Гамильтон;32.2975;-64.801389;Bermuda
2026;;Болгария;Восточная Европа;Восточная Европа;Европа;;country;София;42.7;23.333333;Bulgaria
2027;;Боливия;Латинская Америка;Латинская Америка;Латинская Америка;;country;Сукре;-19.059444;-65.255278;Bolivia
2028;;Босния и Герцеговина;Южная Европа;Южная Европа;Европа;;country;Сараево;43.866667;18.416667;Bosnia and Herz.
2029;;Ботсвана;Африка;Африка;Африка;;country;Габороне;-24.656944;25.908611;Botswana
2030;;Бразилия;Латинская Америка;Латинская Америка;Латинская Америка;;country;Бразилиа;-15.798889;-47.866667;Brazil
2031;;Британская Тер-ия;Южная Азия;Южная Азия;Южная Азия;;country;Гамильтон;32.2975;-64.801389;Br. Indian Ocean Ter.
2032;;Бруней;Юго-Восточная Азия;Юго-Восточная Азия;Юго-Восточная Азия;;country;Бандар-Сери-Бегаван;4.891667;114.941667;Brunei
2033;;Буркина-Фасо;Африка;Африка;Африка;;country;Уагадугу;12.266667;-2.066667;Burkina Faso
2034;;Бурунди;Африка;Африка;Африка;;country;Гитега;-3.427778;29.925;Burundi
2035;;Бутан;Южная Азия;Южная Азия;Южная Азия;;country;Тхимпху;27.48333;89.633333;Bhutan
2036;;Вануату;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Порт-Вила;-17.75;168.3;Vanuatu
2037;;Венгрия;Восточная Европа;Восточная Европа;Европа;;country;Будапешт;47.516667;19.083333;Hungary
2038;;Венесуэла;Латинская Америка;Латинская Америка;Латинская Америка;;country;Каракас;10.5;-66.933333;Venezuela
2039;;Виргинские О-ва (Брит.);Латинская Америка;Латинская Америка;Латинская Америка;;country;Род-Таун;18.433333;-64.616667;British Virgin Is.
2040;;Виргинские О-ва (США);Латинская Америка;Латинская Америка;Латинская Америка;;country;Шарлотта-Амалия;18.35;-64.95;U.S. Virgin Is.
2041;;Вьетнам;Юго-Восточная Азия;Вьетнам;Юго-Восточная Азия;;country;Ханой;21.1;105.816667;Vietnam
2042;;Габон;Африка;Африка;Африка;;country;Либревиль;0.3901;9.4544;Gabon
2043;;Гаити;Латинская Америка;Латинская Америка;Латинская Америка;;country;Порт-о-Пренс;18.5425;-72.338611;Haiti
2044;;Гайана;Латинская Америка;Латинская Америка;Латинская Америка;;country;Джорджтаун;6.783333;-58.166667;Guyana
2045;;Гамбия;Африка;Африка;Африка;;country;Гамбия;13.5;-15.5;Gambia
2046;;Гана;Африка;Африка;Африка;;country;Аккра;5.55;-0.216667;Ghana
2047;;Гваделупа;Латинская Америка;Латинская Америка;Латинская Америка;;country;Бас-Тер;15.995833;-61.729167;
2048;;Гватемала;Латинская Америка;Латинская Америка;Латинская Америка;;country;Гватемала;14.622778;-90.531389;Guatemala
2049;;Гвинея;Африка;Африка;Африка;;country;Конакри;9.509167;-13.712222;Guinea
2050;;Гвинея-Бисау;Африка;Африка;Африка;;country;Бисау;11.859167;-15.595556;Guinea-Bissau
2051;;Германия;Западная Европа;Германия;Европа;;country;Берлин;52.516667;13.383333;Germany
2052;;Гернси;Западная Европа;Западная Европа;Европа;;country;Сент-Питер-Порт;49.45;-2.55;Guernsey
2053;;Гибралтар;Южная Европа;Южная Европа;Европа;;country;Гибралтар;36.133333;-5.35;Gibraltar
2054;;Гондурас;Латинская Америка;Латинская Америка;Латинская Америка;;country;Тегусигальпа;14.094167;-87.206667;Honduras
2055;;Гонконг;Восточная Азия;Восточная Азия;Восточная Азия;;country;Гонконг;22.416667;114.166667;Hong Kong
2056;;Гренада;Латинская Америка;Латинская Америка;Латинская Америка;;country;Сент-Джорджес;12.044444;-61.741667;Grenada
2057;;Гренландия;Северная Америка;Северная Америка;Северная Америка;;country;Нуук;64.175;-51.733333;Greenland
2058;;Греция;Южная Европа;Южная Европа;Европа;;country;Афины;38;23.716667;Greece
2059;;Грузия;Западная Азия;Грузия;Грузия;;country;Тбилиси;41.716667;44.8;Georgia
2060;;ГУАМ;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Хагатна;13.483333;144.75;Guam
2061;;Дания;Северная Европа;Северная Европа;Европа;;country;Копенгаген;55.686944;12.583333;Denmark
2062;;Джибути;Африка;Африка;Африка;;country;Джибути;11.595;43.148056;Djibouti
2063;;Доминика;Латинская Америка;Латинская Америка;Латинская Америка;;country;Розо;15.3;-61.383333;Dominica
2064;;Доминиканская Респ.;Латинская Америка;Латинская Америка;Латинская Америка;;country;Санто-Доминго;18.476389;-69.893333;Dominican Rep.
2065;;Египет;Африка;Египет;Египет;;country;Каир;30.056111;31.239444;Egypt
2066;;Замбия;Африка;Африка;Африка;;country;Лусака;-15.416667;28.283333;Zambia
2067;;Западная Сахара;Африка;Африка;Африка;;country;Эль-Аюн;27.153611;-13.203333;W. Sahara
2068;;Зимбабве;Африка;Африка;Африка;;country;Хараре;-17.863889;31.029722;Zimbabwe
2069;;Израиль;Западная Азия;Израиль;Западная Азия;;country;Иерусалим;31.783333;35.233333;Israel
2070;;Индия;Южная Азия;Индия;Южная Азия;;country;Нью-Дели;28.7;77.2;India
2071;;Индонезия;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Джакарта;-6.166667;106.8;Indonesia
2072;;Иордания;Западная Азия;Иордания;Западная Азия;;country;Амман;31.95;35.916667;Jordan
2073;;Ирак;Западная Азия;Ирак;Западная Азия;;country;Багдад;33.333333;44.383333;Iraq
2074;;Иран;Южная Азия;Южная Азия;Южная Азия;;country;Тегеран;35.7;51.416667;Iran
2075;;Ирландия;Северная Европа;Северная Европа;Европа;;country;Дублин;53.333333;-6.266667;Ireland
2076;;Исландия;Северная Европа;Северная Европа;Европа;;country;Рейкьявик;64.15;-21.883333;Iceland
2077;;Испания;Южная Европа;Южная Европа;Европа;;country;Мадрид;40.4;-3.683333;Spain
2078;;Италия;Южная Европа;Южная Европа;Европа;;country;Рим;41.9;12.5;Italy
2079;;Йемен;Западная Азия;Западная Азия;Западная Азия;;country;Сана;15.35;44.2;Yemen
2080;;Кабо-Верде;Африка;Африка;Африка;;country;Прая;14.916667;-23.516667;Cabo Verde
2081;;Казахстан;Центральная Азия;Казахстан;Казахстан;;country;Астана;51.133333;71.433333;Kazakhstan
2082;;Камбоджа;Юго-Восточная Азия;Юго-Восточная Азия;Юго-Восточная Азия;;country;Пномпень;11.55;104.916667;Cambodia
2083;;Камерун;Африка;Африка;Африка;;country;Яунде;3.866667;11.516667;Cameroon
2084;;Канада;Северная Америка;Северная Америка;Северная Америка;;country;Оттава;45.424722;-75.695;Canada
2085;;Катар;Западная Азия;Западная Азия;Западная Азия;;country;Доха;25.3;51.516667;Qatar
2086;;Кения;Африка;Африка;Африка;;country;Найроби;-1.283333;36.816667;Kenya
2087;;Кипр;Западная Азия;Западная Азия;Западная Азия;;country;Никосия;35.166667;33.366667;Cyprus
2088;;Кыргызстан;Центральная Азия;Кыргызстан;Кыргызстан;;country;Бишкек;41.216667;75;Kyrgyzstan
2089;;Кирибати;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Южная Тарава;1.4;172.966667;Kiribati
2090;;Китай;Восточная Азия;Китай;Китай;;country;Пекин;39.90403;116.407526;China
2091;;Колумбия;Латинская Америка;Латинская Америка;Латинская Америка;;country;Богота;4.598889;-74.080833;Colombia
2092;;Коморы;Африка;Африка;Африка;;country;Морони;-11.703611;43.253611;Comoros
2093;;Конго;Африка;Африка;Африка;;country;Браззавиль;-4.266667;15.283333;Congo
2094;;Дем. Респ. Конго;Африка;Африка;Африка;;country;Киншаса;-4.331667;15.313889;Dem. Rep. Congo
2095;;КНДР;Восточная Азия;КНДР;Восточная Азия;;country;Пхеньян;39.748889;126.404722;North Korea
2096;;Республика Корея;Восточная Азия;Восточная Азия;Восточная Азия;;country;Сеул;37.583333;127;South Korea
2097;;Коста-Рика;Латинская Америка;Латинская Америка;Латинская Америка;;country;Сан-Хосе;9.933333;-84.083333;Costa Rica
2098;;Кот-д’Ивуар;Африка;Африка;Африка;;country;Ямусукро;6.833333;-5.25;C?te d'Ivoire
2099;;Куба;Латинская Америка;Латинская Америка;Латинская Америка;;country;Гавана;23.116667;-82.383333;Cuba
2100;;Кувейт;Западная Азия;Западная Азия;Западная Азия;;country;Эль-Кувейт;29.375;47.98;Kuwait
2101;;Лаос;Юго-Восточная Азия;Юго-Восточная Азия;Юго-Восточная Азия;;country;Вьентьян;17.966667;102.6;Laos
2102;;Латвия;Северная Европа;Латвия;Европа;;country;Рига;56.9475;24.106944;Latvia
2103;;Лесото;Африка;Африка;Африка;;country;Масеру;-29.566667;28.283333;Lesotho
2104;;Либерия;Африка;Африка;Африка;;country;Монровия;6.310556;-10.804722;Liberia
2105;;Ливан;Западная Азия;Западная Азия;Западная Азия;;country;Бейрут;33.886944;35.513056;Lebanon
2106;;Ливия;Африка;Африка;Африка;;country;Триполи;32.9;13.183333;Libya
2107;;Литва;Северная Европа;Литва;Европа;;country;Вильнюс;54.683333;25.283333;Lithuania
2108;;Лихтенштейн;Западная Европа;Западная Европа;Европа;;country;Вадуц;47.139722;9.521944;Liechtenstein
2109;;Люксембург;Западная Европа;Западная Европа;Европа;;country;Люксембург;49.611649;6.129947;Luxembourg
2110;;Маврикий;Африка;Африка;Африка;;country;Порт-Луи;-20.166667;57.5;Mauritius
2111;;Мавритания;Африка;Африка;Африка;;country;Нуакшот;18.078333;-15.974444;Mauritania
2112;;Мадагаскар;Африка;Африка;Африка;;country;Антананариву;-18.91;47.525;Madagascar
2113;;Майотта;Африка;Африка;Африка;;country;Мамуцу;-12.780556;45.227778;
2114;;Макао;Восточная Азия;Восточная Азия;Восточная Азия;;country;Макао;22.198;113.5473;Macao
2115;;Малави;Африка;Африка;Африка;;country;Лилонгве;-13.983333;33.783333;Malawi
2116;;Малайзия;Юго-Восточная Азия;Юго-Восточная Азия;Юго-Восточная Азия;;country;Куала-Лумпур;3.159722;101.7;Malaysia
2117;;Мали;Африка;Африка;Африка;;country;Бамако;12.645833;-7.992222;Mali
2118;;Внешние о-ва США;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;;5.883333;-162.083333;
2119;;Мальдивы;Южная Азия;Южная Азия;Южная Азия;;country;Мале;4.175278;73.508889;Maldives
2120;;Мальта;Южная Европа;Южная Европа;Европа;;country;Валлетта;35.897778;14.5125;Malta
2121;;Марокко;Африка;Марокко;Марокко;;country;Рабат;34.025278;-6.836111;Morocco
2122;;Мартиника;Латинская Америка;Латинская Америка;Латинская Америка;;country;Фор-де-Франс;14.599722;-61.083056;
2123;;Маршалловы О-ва;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Маджуро;7.066667;171.266667;Marshall Is.
2124;;Мексика;Латинская Америка;Латинская Америка;Латинская Америка;;country;Мехико;19.419444;-99.145556;Mexico
2125;;Микронезия;Австралия и Океания;Австралия и Океания;Австралия и Океания;;country;Паликир;6.917778;158.185;Micronesia
2126;;Мозамбик;Африка;Африка;Африка;;country;Мапуту;-25.915278;32.576389;Mozambique
2127;;Молдова;Восточная Европа;Молдова;Молдова;;country;Кишинёв;47.022778;28.835278;Moldova
2128;;Монако;Западная Европа;Западная Европа;Европа;;country;Монако;43.730556;7.423611;Monaco
2129;;Монголия;Восточная Азия;Восточная Азия;Восточная Азия;;country;Улан-Батор;47.916667;106.916667;Mongolia
2130;;Монтсеррат;Латинская Америка;Латинская Америка;Латинская Америка;;country;Брейдс;16.792778;-62.210556;Montserrat
