origin;destination;year;migrants
1114;2230;2015;2
1114;2233;2015;1
1114;2250;2015;131
1115;2001;2015;1
1115;2004;2015;25
1115;2014;2015;40
1115;2016;2015;1
1115;2021;2015;47
1115;2051;2015;13
1115;2059;2015;4
1115;2069;2015;8
1115;2077;2015;6
1115;2078;2015;5
1115;2081;2015;28
1115;2088;2015;10
1115;2102;2015;5
1115;2107;2015;5
1115;2127;2015;127
1115;2159;2015;1
1115;2160;2015;5
1115;2178;2015;2
1115;2181;2015;2
1115;2182;2015;9
1115;2189;2015;11
1115;2199;2015;2
1115;2202;2015;26
1115;2203;2015;269
1115;2211;2015;1
1115;2219;2015;1
1115;2230;2015;3
1115;2231;2015;1
1115;2250;2015;73
1117;2001;2015;1
1117;2002;2015;1
1117;2003;2015;4
1117;2004;2015;15
1117;2014;2015;70
1117;2016;2015;1
1117;2018;2015;1
1117;2021;2015;10
1117;2031;2015;1
1117;2051;2015;22
1117;2059;2015;7
1117;2069;2015;1
1117;2074;2015;1
1117;2078;2015;5
1117;2081;2015;59
1117;2084;2015;3
1117;2086;2015;1
1117;2088;2015;32
1117;2095;2015;13
1117;2102;2015;4
1117;2107;2015;3
1117;2127;2015;85
1117;2142;2015;1
1117;2143;2015;1
1117;2178;2015;4
1117;2181;2015;1
1117;2182;2015;1
1117;2189;2015;154
1117;2190;2015;1
1117;2198;2015;1
1117;2199;2015;14
1117;2200;2015;6
1117;2202;2015;223
1117;2203;2015;201
1117;2230;2015;1
1117;2250;2015;86
1118;2001;2015;2
1118;2002;2015;3
1118;2003;2015;6
1118;2004;2015;100
1118;2005;2015;1
1118;2014;2015;359
1118;2016;2015;1
1118;2021;2015;17
1118;2023;2015;1
1118;2026;2015;2
1118;2028;2015;1
1118;2030;2015;2
1118;2037;2015;1
1118;2038;2015;1
1118;2040;2015;1
1118;2041;2015;3
1118;2051;2015;136
1118;2059;2015;39
1118;2069;2015;6
1118;2070;2015;1
1118;2077;2015;24
1118;2078;2015;9
1118;2081;2015;198
1118;2084;2015;2
1118;2088;2015;45
1118;2090;2015;1
1118;2096;2015;1
1118;2099;2015;1
1118;2102;2015;2
1118;2105;2015;1
1118;2107;2015;6
1118;2121;2015;1
1118;2127;2015;46
1118;2137;2015;1
1118;2140;2015;1
1118;2143;2015;1
1118;2150;2015;1
1118;2152;2015;1
1118;2157;2015;1
1118;2160;2015;2
1118;2176;2015;1
1118;2178;2015;2
1118;2180;2015;6
1118;2181;2015;3
1118;2182;2015;28
1118;2189;2015;144
1118;2199;2015;7
1118;2200;2015;4
1118;2202;2015;279
1118;2203;2015;252
1118;2211;2015;4
1118;2215;2015;1
1118;2219;2015;3
1118;2222;2015;3
1118;2236;2015;4
1118;2250;2015;322
1119;2001;2015;2
1119;2003;2015;3
1119;2004;2015;91
1119;2014;2015;121
1119;2021;2015;26
1119;2037;2015;1
1119;2040;2015;1
1119;2041;2015;22
1119;2051;2015;15
1119;2059;2015;23
1119;2065;2015;3
1119;2069;2015;1
1119;2077;2015;1
1119;2078;2015;1
1119;2081;2015;59
1119;2084;2015;4
